w0,w1
-0.9742252030300814,-0.11916066517389236
-0.9738289427128313,-0.11900216104699231
-0.974276510256207,-0.1225379446396608
-0.9727387747235353,-0.1225379446396608
-0.9755866649088553,-0.1225379446396608
-0.9779119962827519,-0.11951501385359517
-0.980196630747457,-0.11494574492418506
-0.9785350267097752,-0.11494574492418506
-0.9790083850302578,-0.11494574492418506
-0.9781199690016131,-0.1145903785127272
-0.9771697896065091,-0.11506546821027919
-0.9790462687282395,-0.11262604535202965
-0.9800534028014747,-0.11383460623991178
-0.9791402157744328,-0.11346933142909499
-0.9815983705509084,-0.11346933142909499
-0.980995585566361,-0.1087073300511709
-0.9800284271671407,-0.1091909092507811
-0.9796585887629702,-0.10904297388911292
-0.9786800821104571,-0.11031503253737991
-0.9777071204235696,-0.10992584786262491
-0.9766872782181332,-0.11125164272969214
-0.9756412407546986,-0.11261149143215703
-0.9764154774156983,-0.11292118609655694
-0.975879318775463,-0.11292118609655694
-0.9762574188501365,-0.11292118609655694
-0.974638087015719,-0.11097798789525593
-0.9765257993030714,-0.1072025633205511
-0.9774897249798733,-0.10835927413271339
-0.9778597119959905,-0.11128217156003961
-0.9768046186437132,-0.11180971823617829
-0.9771155144515277,-0.1142657951179128
-0.9773920966186965,-0.11645079423854696
-0.9763629210895987,-0.11521578360362958
-0.9772685742175288,-0.11630256735714575
-0.9777527112653104,-0.11606049883325498
-0.9771408622350353,-0.11122689149408149
-0.9793596911836104,-0.11122689149408149
-0.978973386727368,-0.11172908728719659
-0.9777917520721853,-0.10960214490786774
-0.9774067802755841,-0.1094481561892273
-0.977879333397797,-0.10921187962812087
-0.9774815414264323,-0.10972900919089493
-0.9763137160395259,-0.11124718219387318
-0.9751117758255218,-0.11280970447207846
-0.9758105957015555,-0.11308923242249194
-0.9746546717025789,-0.11366719442198021
-0.9762115226734814,-0.111643288159807
-0.9750270314619147,-0.111643288159807
-0.9764669892198102,-0.10977134307454285
-0.9759227555627217,-0.10977134307454285
-0.976164773729543,-0.11168328659243182
-0.9754790544605997,-0.10626610436777938
-0.9759341911285089,-0.10603853603382478
-0.9741705134659985,-0.10392212283881236
-0.9717599027675061,-0.10392212283881236
-0.9723513175226708,-0.1041586887408782
-0.9739045657579247,-0.10105219227037032
-0.9750798298931759,-0.09952434889454381
-0.9754016622285876,-0.10206682434429629
-0.9743580241775508,-0.10081445868305211
-0.9717736169445327,-0.10081445868305211
-0.9731659929023699,-0.0980297067673776
-0.9725886150407936,-0.09346842166092463
-0.9738892798979827,-0.09086709194654656
-0.9729240955270948,-0.08324213541653229
-0.9717067113450487,-0.08324213541653229
-0.9729042042823012,-0.08084714954202737
-0.9725419176782323,-0.08131812212731696
-0.9710794754398243,-0.07868572609818263
-0.9728360362725721,-0.07868572609818263
-0.9715985905247113,-0.07930444897211304
-0.9708654787659249,-0.0735128660777002
-0.9704914975522899,-0.07399904165542569
-0.9706134466694272,-0.07399904165542569
-0.968590930449991,-0.07157202219210236
-0.9656648860092353,-0.07157202219210236
-0.9661326879226334,-0.07175914295746162
-0.9665083256754358,-0.07157132408106044
-0.9668824215124974,-0.07138427616252965
-0.9651840167589194,-0.07138427616252965
-0.9635668837953438,-0.0684734368280936
-0.9636587997351308,-0.0684734368280936
-0.960455215591119,-0.0684734368280936
-0.959626309742973,-0.0619250806277404
-0.9585809391136988,-0.06067063587261132
-0.9566576779961118,-0.06067063587261132
-0.9562711611994109,-0.061173107708322405
-0.9558651185475103,-0.061010690647562156
-0.9541968992590861,-0.06317937572251364
-0.951931169313593,-0.060460499787921916
-0.9501074326770732,-0.05717777384218629
-0.9496837430672198,-0.05700829799824494
-0.9506882788798473,-0.05821374097339797
-0.9511334833658533,-0.0583918227678004
-0.9507087746747607,-0.05822193929136334
-0.9489157961349948,-0.04405740882721232
-0.9495780195047766,-0.043196518446495996
-0.9484715413110165,-0.034455340715791746
-0.9490975332570011,-0.03364155118601185
-0.947888059466498,-0.02408670824103718
-0.9450298821890496,-0.0015071077491945785
-0.9486169087981633,-0.029844617961193174
-0.9465238665759207,-0.026077141961156545
-0.9440497919884934,-0.026077141961156545
-0.9424044233499734,-0.02689982628041651
-0.9427557295207846,-0.026724173195010945
-0.9405753812075648,-0.025852033869723012
-0.9376014308405202,-0.00235782597007049
-0.9376816342915395,-0.00235782597007049
-0.9357035241574648,-0.00235782597007049
-0.9342141535535232,0.009408201801068168
-0.9337659389859059,0.008825522863165635
-0.9342720270457825,0.008623087639214997
-0.9337717655372193,0.008823192242640273
-0.9351798045027552,0.008823192242640273
-0.9336572305628505,0.020851526367886678
-0.9316478491055825,0.018239330473438183
-0.9271331132061863,0.018239330473438183
-0.9262028471807232,0.019355649703993828
-0.9239558205275171,0.019355649703993828
-0.9216351804080519,0.01633881754868913
-0.9209648193312512,0.01633881754868913
-0.9214597442636798,0.016140847575717696
-0.9227573782800391,0.016140847575717696
-0.9207223206733731,0.015123318772384674
-0.9177424062249685,0.016315284551746537
